index name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
SSelect_theta(0.001)_namuda(0.0),25,65,67,68,69,70,71,26,27,24,23,28,29,18,66,35,33,32,34,39,15,14,17,13,16,36,37,38,30,31,40,41,42,43,99,45,22,1,2,3,4,5,6,7,8,9,10,11,12,19,20,21,44,49,46,87,78,79,80,81,82,83,84,85,86,88,47,89,90,91,92,93,94,95,96,97,77,76,75,74,48,98,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,72,73,0
SSelect_theta(0.001)_namuda(0.1),25,65,67,68,69,70,71,26,27,24,23,28,29,18,66,35,33,32,34,39,15,14,17,13,16,36,37,38,30,31,40,41,42,43,99,45,22,1,2,3,4,5,6,7,8,9,10,11,12,19,20,21,44,49,46,87,78,79,80,81,82,83,84,85,86,88,47,89,90,91,92,93,94,95,96,97,77,76,75,74,48,98,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,72,73,0
SSelect_theta(0.001)_namuda(0.2),25,65,67,68,69,70,71,26,27,24,23,28,29,18,66,35,33,32,34,39,15,14,17,13,16,36,37,38,30,31,40,41,42,43,99,45,22,1,2,3,4,5,6,7,8,9,10,11,12,19,20,21,44,49,46,87,78,79,80,81,82,83,84,85,86,88,47,89,90,91,92,93,94,95,96,97,77,76,75,74,48,98,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,72,73,0
SSelect_theta(0.001)_namuda(0.30000000000000004),25,65,67,68,69,70,71,26,27,24,23,28,29,18,66,35,33,32,34,39,15,14,17,13,16,36,37,38,30,31,40,41,42,43,99,45,22,1,2,3,4,5,6,7,8,9,10,11,12,19,20,21,44,49,46,87,78,79,80,81,82,83,84,85,86,88,47,89,90,91,92,93,94,95,96,97,77,76,75,74,48,98,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,72,73,0
SSelect_theta(0.001)_namuda(0.4),25,65,67,68,69,70,71,26,27,24,23,28,29,18,66,35,33,32,34,39,15,14,17,13,16,36,37,38,30,31,40,41,42,43,99,45,22,1,2,3,4,5,6,7,8,9,10,11,12,19,20,21,44,49,46,87,78,79,80,81,82,83,84,85,86,88,47,89,90,91,92,93,94,95,96,97,77,76,75,74,48,98,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,72,73,0
SSelect_theta(0.001)_namuda(0.5),25,65,67,68,69,70,71,26,27,24,23,28,29,18,66,35,33,32,34,39,15,14,17,13,16,36,37,38,30,31,40,41,42,43,99,45,22,1,2,3,4,5,6,7,8,9,10,11,12,19,20,21,44,49,46,87,78,79,80,81,82,83,84,85,86,88,47,89,90,91,92,93,94,95,96,97,77,76,75,74,48,98,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,72,73,0
SSelect_theta(0.001)_namuda(0.6000000000000001),25,65,67,68,69,70,71,26,27,24,23,28,29,18,66,35,33,32,34,39,15,14,17,13,16,36,37,38,30,31,40,41,42,43,99,45,22,1,2,3,4,5,6,7,8,9,10,11,12,19,20,21,44,49,46,87,78,79,80,81,82,83,84,85,86,88,47,89,90,91,92,93,94,95,96,97,77,76,75,74,48,98,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,72,73,0
SSelect_theta(0.001)_namuda(0.7000000000000001),25,65,67,68,69,70,71,26,27,24,23,28,29,18,66,35,33,32,34,39,15,14,17,13,16,36,37,38,30,31,40,41,42,43,99,45,22,1,2,3,4,5,6,7,8,9,10,11,12,19,20,21,44,49,46,87,78,79,80,81,82,83,84,85,86,88,47,89,90,91,92,93,94,95,96,97,77,76,75,74,48,98,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,72,73,0
SSelect_theta(0.001)_namuda(0.8),25,65,67,68,69,70,71,26,27,24,23,28,29,18,66,35,33,32,34,39,15,14,17,13,16,36,37,38,30,31,40,41,42,43,99,45,22,1,2,3,4,5,6,7,8,9,10,11,12,19,20,21,44,49,46,87,78,79,80,81,82,83,84,85,86,88,47,89,90,91,92,93,94,95,96,97,77,76,75,74,48,98,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,72,73,0
SSelect_theta(0.001)_namuda(0.9),25,65,67,68,69,70,71,26,27,24,23,28,29,18,66,35,33,32,34,39,15,14,17,13,16,36,37,38,30,31,40,41,42,43,99,45,22,1,2,3,4,5,6,7,8,9,10,11,12,19,20,21,44,49,46,87,78,79,80,81,82,83,84,85,86,88,47,89,90,91,92,93,94,95,96,97,77,76,75,74,48,98,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,72,73,0
SSelect_theta(0.001)_namuda(1.0),99,36,26,27,28,29,30,31,32,33,34,35,37,98,38,39,40,41,42,43,44,45,46,47,25,24,23,22,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,48,49,50,75,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,76,74,51,73,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,0
SSelect_theta(0.01)_namuda(0.0),25,65,67,68,69,70,71,26,27,24,23,28,29,18,66,35,33,32,34,39,15,14,17,13,16,36,37,38,30,31,40,41,42,43,99,45,22,1,2,3,4,5,6,7,8,9,10,11,12,19,20,21,44,49,46,87,78,79,80,81,82,83,84,85,86,88,47,89,90,91,92,93,94,95,96,97,77,76,75,74,48,98,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,72,73,0
